id,Codigos,State,Region,Bottom 40 income,PPGI income,Bottom 40 consumption,PPGI consumption
MX01,AGS,Aguascalientes,Northcenter,-13.94150484,-20.04232458,-15.8,-17.97717172
MX02,BCN,Baja California,Northwest,14.8,14.40641314,16,15.92609882
MX03,BCS,Baja California Sur,Northwest,11,3.656387426,17.8,16.63765314
MX04,CAM,Campeche,Southeast,8.6,-1.211620464,17.2,8.420034271
MX05,CHIS,Chiapas,Southwest,3.5,3.337747908,-4.2,1.515665762
MX06,CHIH,Chihuahua,Northwest,6.2,11.32497023,21,10.36550882
MX07,COAH,Coahuila,Northeast,6.4,9.533324975,-4.5,-8.400480535
MX08,COL,Colima,West,1.4,4.139463151,-3,1.526076205
MX09,CDMX,Ciudad de México,Southcentral,8.6,5.020523978,16.7,9.027791917
MX10,DGO,Durango,Northwest,7,7.091890054,10.6,12.93502623
MX11,GTO,Guanajuato,Northcenter,2.6,-4.970868796,0.2,-6.483702505
MX12,GRO,Guerrero,Southwest,3.6,6.264105715,-4.7,-1.339949728
MX13,HGO,Hidalgo,East,10.9,-1.516660301,6.2,-4.07338482
MX14,JAL,Jalisco,West,-9.1,-22.87329427,-11.3,-16.52421338
MX15,MEX,México,Southcentral,8.6,5.020523978,16.7,9.027791917
MX16,MICH,Michoacán,West,-4.8,-3.095885978,-3.1,0.377200692
MX17,MOR,Morelos,Southcentral,-5.5,-6.307209287,-2.7,-5.048928327
MX18,NAY,Nayarit,West,-6.1,-14.70456194,-7.5,-9.96791566
MX19,NL,Nuevo León,Northeast,-10.1,-12.69039244,-4.9,-8.389964642
MX20,OAX,Oaxaca,Southwest,3.9,12.40997852,6.1,9.874379754
MX21,PUE,Puebla,East,5.2,-4.677693968,-3.8,-20.74270872
MX22,QRO,Querétaro,Northcenter,10.1,-8.742871361,1,-11.96014158
MX23,QROO,Quintana Roo,Southeast,-12.1,-8.921649432,-16.1,-12.1166424
MX24,SLP,San Luis Potosí,Northcenter,5.2,3.476854033,-6.4,-0.470669912
MX25,SIN,Sinaloa,Northwest,-9.8,-9.45900371,-15.2,-6.711133602
MX26,SON,Sonora,Northwest,16.2,8.534575902,23,21.21187305
MX27,TAB,Tabasco,Southeast,3.3,-5.061127409,3.5,-0.68114048
MX28,TAM,Tamaulipas,Northeast,0,-15.29221453,1.1,-15.7064556
MX29,TLX,Tlaxcala,East,-3.4,-2.025170029,-4.1,4.333965141
MX30,VER,Veracruz,East,1.4,-1.244565191,8.4,2.496938593
MX31,YUC,Yucatán,Southeast,-5,1.101305096,-7.9,-2.693031306
MX32,ZAC,Zacatecas,Northcenter,-2.1,-8.060899909,-6.7,-14.96953085
